Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-06 00:00:00+05:30,524.6344881532829,524.6344881532829,503.69860848851465,505.1339111328125,108458,0.0,0.0
2019-12-09 00:00:00+05:30,507.0147098450729,513.6468938828455,505.57937696553637,508.4500427246094,97399,0.0,0.0
2019-12-10 00:00:00+05:30,509.7863488920695,510.1823236212202,499.39264663310496,500.6794738769531,93371,0.0,0.0
2019-12-11 00:00:00+05:30,504.8369577403827,506.02482148910616,497.6108721934331,502.5107421875,72083,0.0,0.0
2019-12-12 00:00:00+05:30,509.1924409945025,509.1924409945025,503.15415874366346,506.5692443847656,81260,0.0,0.0
2019-12-13 00:00:00+05:30,508.49951099783055,517.5568436691537,508.49951099783055,510.7762145996094,144323,0.0,0.0
2019-12-16 00:00:00+05:30,512.6570184326812,514.4387838925353,502.7582240945703,503.8965759277344,90225,0.0,0.0
2019-12-17 00:00:00+05:30,507.8065834713517,507.8065834713517,499.8875724230655,500.7289733886719,105421,0.0,0.0
2019-12-18 00:00:00+05:30,502.75820833978565,519.4376314170078,501.4713811267305,517.6063842773438,282515,0.0,0.0
2019-12-19 00:00:00+05:30,517.7053631429325,532.8504601533365,517.7053631429325,529.6333618164062,271814,0.0,0.0
2019-12-20 00:00:00+05:30,528.5940082287076,533.8403411707461,523.0011822893455,525.4263916015625,132515,0.0,0.0
2019-12-23 00:00:00+05:30,525.5253704447796,530.474752120028,519.2891012001612,520.5759887695312,99595,0.0,0.0
2019-12-24 00:00:00+05:30,522.209278865891,527.1091790930246,520.8729699027,522.0112915039062,88653,0.0,0.0
2019-12-26 00:00:00+05:30,525.6243925792247,530.8212439182848,521.9123559084675,523.1002197265625,115777,0.0,0.0
2019-12-27 00:00:00+05:30,526.6142309737103,526.8122183319642,519.8830837138892,524.6839599609375,89028,0.0,0.0
2019-12-30 00:00:00+05:30,527.5051338390585,533.3453680842296,526.2677883950912,531.0686645507812,123258,0.0,0.0
2019-12-31 00:00:00+05:30,533.3453915829294,533.3453915829294,525.0304660834759,526.06982421875,65928,0.0,0.0
2020-01-01 00:00:00+05:30,528.989983780875,532.3060456257718,524.2385286241854,531.1676635742188,90459,0.0,0.0
2020-01-02 00:00:00+05:30,531.5635995569384,535.4736232199987,528.0495506004884,534.4342651367188,127766,0.0,0.0
2020-01-03 00:00:00+05:30,535.176701656764,535.176701656764,525.1294319955064,527.2576904296875,79676,0.0,0.0
2020-01-06 00:00:00+05:30,527.6040881677379,527.6040881677379,515.5275847603721,518.8931884765625,128697,0.0,0.0
2020-01-07 00:00:00+05:30,523.6446057394485,526.6142348835285,518.0517800178606,521.3184204101562,100980,0.0,0.0
2020-01-08 00:00:00+05:30,518.2992471575312,520.8729619897118,513.8448034582188,519.2891235351562,103630,0.0,0.0
2020-01-09 00:00:00+05:30,524.634509337911,536.8099773768288,522.704238210668,535.5726318359375,102585,0.0,0.0
2020-01-10 00:00:00+05:30,538.4927594960235,541.8583634097779,533.7908466143947,540.91796875,88308,0.0,0.0
2020-01-13 00:00:00+05:30,544.2340392652596,551.4601249898205,541.1159648176383,549.3814086914062,71225,0.0,0.0
2020-01-14 00:00:00+05:30,549.8763460828993,557.547888264974,549.3319261405269,556.8054809570312,52854,0.0,0.0
2020-01-15 00:00:00+05:30,557.3004154226238,565.120463180716,551.0642061612048,563.8831176757812,70375,0.0,0.0
2020-01-16 00:00:00+05:30,564.2295382175369,564.2295382175369,558.7852181119291,561.6558837890625,58201,0.0,0.0
2020-01-17 00:00:00+05:30,561.6559069476538,568.2385489145893,559.7256358380778,563.2396850585938,132767,0.0,0.0
2020-01-20 00:00:00+05:30,564.4770215703483,568.1890580997455,559.0821830641719,561.35888671875,116865,0.0,0.0
2020-01-21 00:00:00+05:30,560.2700067041059,560.2700067041059,544.9269234816436,547.748046875,84766,0.0,0.0
2020-01-22 00:00:00+05:30,547.9460840517662,550.8167498568107,543.7391092372513,548.3915405273438,54384,0.0,0.0
2020-01-23 00:00:00+05:30,545.5703930657447,561.6558843015357,544.2340236973386,560.814453125,105039,0.0,0.0
2020-01-24 00:00:00+05:30,559.6266095366921,566.2093118925575,559.0327078519613,562.0518188476562,80416,0.0,0.0
